Column 1,Column 2
汉堡王（西安凯德新地店）,"4.7分1373条评论 雁塔区二环南路西段64号,凯德广场.新地城01层01-09B号人均￥32"
捷客比萨（临潼店）,3.8分2370条评论 临潼区会昌路与秦陵北路交叉口东南角（近华润万家）人均￥35
桑记重庆老灶王串串香,4.9分1362条评论 雁塔区电子一路西段18号西部电子商业步行街1层129-1号商铺人均￥52
悦豪云顶自助餐厅,3.7分429条评论 雁塔区二环南路西段180号（近高新三路）人均￥91
西安天骊君廷大酒店·赛纳宫西餐厅,4.9分520条评论 雁塔区太白南路198号（科技二路口）人均￥67
美益水果（钟楼店）,4.3分10条评论 新城区新民街38号1幢1单元10209室（通济南坊宋庆龄幼儿园隔壁）人均 -
大唐西市酒店,4.6分386条评论 莲湖区劳动南路118号西市五坊（大唐西市文旅景区内、近大唐西市博物馆）人均￥118
大海子陕菜小寨店,4.2分1526条评论 雁塔区兴善寺西街小寨百盛飞炫购物广场人均￥49
HKCG香季咖啡生活馆,4分 莲湖区迎春小区(南区)35号人均 -
普素茶房（文艺路店）,4.2分156条评论 碑林区建西街138号（近文艺北路）人均￥56
华莱士·全鸡汉堡（阎良店）,3.8分5079条评论 阎良区胜利街南段16号（近凯利金店）人均￥15
福苗小骆驼烧烤（大华1935店）,3.4分1370条评论 新城区太华南路大华1935内（近太华路大明宫公园东南对面）人均￥85
百富烤霸（交大店）,暂无评分18248条评论 碑林区兴庆路交大出版社北裙楼1楼人均￥19
睿德居酒楼,4.9分366条评论 新城区东五路与顺城东路北段交叉口西北角（近朝阳门）人均￥59
徽興記黄山臭桂鱼（桃园路店）,4.4分29条评论 莲湖区桃园南路38号人均￥101
大香港酒楼（国宾店）,4.2分339条评论 碑林区环城东路中段1号（近大东门）人均￥73
567大连海鲜旅大码头海鲜（锦业路店）,4.9分1950条评论 雁塔区锦业路76号文化创意园SOHO空间第2幢1单元1层10101号人均￥77
福苗小骆驼烧烤（太奥广场店）,3.8分821条评论 莲湖区丰禾路太奥广场4号楼3楼（西二环与丰禾路交叉口）人均￥83
星期八工坊,4.9分612条评论 长安区韦曲青年街88号人均￥50
西安西藏大厦开元名都大酒店自助餐厅,4分671条评论 碑林区友谊东路333号人均￥128
川渝小渔哥,4.7分22条评论 长安区青年北街与文化街路口东北40米人均￥30
金香缘云南过桥米线,4.5分1058条评论 灞桥区田洪正街路家湾小区（18层对面）人均￥19
站前猪蹄&家常炒菜,4.9分414条评论 新城区长乐中路九街坊3号楼106号人均￥39
时间焙后商务茶歇有限公司,暂无评分 雁塔区丈八街道科技二路甘家寨东三排三号楼五单元101门面房人均￥85
小蛮子纸包鱼（沙井村北口店）,4.2分1870条评论 雁塔区科创路沙井村四组人均￥39
千家粗粮王（交大店）,暂无评分11922条评论 碑林区兴庆路交大电脑城对面常春藤3楼(华润万家南侧)（屈臣氏）人均￥44
美佳蛋糕（玉祥门大兴路店）,5分340条评论 莲湖区习武园12号人均￥80
葡庭餐厅,4.8分3132条评论 未央区凤城八路与文景路十字西北角（往北350米路西）人均￥65
小六汤包（印象城购物中心店）,4.5分371条评论 未央区未央路33号与龙首北路交叉口东北角印象城购物中心B1楼人均￥27
月食海鲜小馆,4.8分215条评论 新城区东二路与尚勤路交口西行20米路南人均￥90
北家姓转转小火锅,4.5分852条评论 鄠邑区大十字向北200米，烟草局隔壁人均￥39
久龍坡纸包鱼,4.9分405条评论 雁塔区丈八三路绿地世纪城饕界停车入口向东200米二楼处（靠近畵臻楼处）人均￥47
山海臻鲜火锅,3.5分2条评论 雁塔区高新一路天公大厦一楼内侧人均￥100
煌上煌自助小火锅（长大店）,4.9分595条评论 未央区草滩一路长乐购物中心2楼人均￥28
安旗（钟楼店）,4.7分992条评论 鄠邑区西街钟楼西南角人人家购物广场一楼门面人均￥51
小武烤肉,5分51条评论 周至县南新街与中心东街交叉口南行80米路西人均￥40
