names,scores,longitude,latitude,mean_price,comment,cluster
ccake蛋糕（高新店）,4.9,108.903900,34.221184,61,2619,4
福苗小骆驼烧烤（高新店）,4.3,108.880694,34.243199,91,1691,5
挞挞家秘汁焖锅（立丰店）,4.4,108.997999,34.247211,47,2253,5
臻膳轩自助涮烤城,3.9,108.945291,34.160664,40,6378,1
洛可可生日蛋糕坊（太华南路店）,5.0,108.975139,34.291502,79,747,4
姚家闻香铁锅炖（纺一路店）,4.2,109.072038,34.272333,44,2334,5
玉肠香葫芦头泡馍,3.9,108.935268,34.292818,21,7678,1
安妮贝可生日蛋糕（南稍门店）,5.0,108.945014,34.244473,45,328,4
爱尚蛋糕,3.9,108.939070,34.328386,37,3171,1
张记老蒲城羊肉,4.2,108.929997,34.324887,38,3014,5
萤初炉端烧（四海唐人街分店）,4.5,108.971822,34.321513,200,18,5
天下第一面（大雁塔北广场店）,4.9,108.962672,34.219890,40,4908,4
王锦记冒菜香锅（陕科大店）,3.9,108.981001,34.381904,19,2424,1
洛可可生日蛋糕坊（土门店）,5.0,108.877260,34.264767,80,717,4
玲祥大盘鸡,5.0,109.198206,34.382667,32,503,4
福气焖锅烤肉,4.4,108.950890,34.222711,35,1103,5
锡林阿玛冰煮羊（汉神广场店）,4.9,108.936556,34.339341,84,221,4
安旗西点（蓝田店）,3.8,109.315610,34.153920,13,1574,1
干锅居（电子正街店）,3.7,108.919793,34.205912,54,4039,1
渝香楼,3.0,103.875763,30.582340,50,3,1
喵星人的猫咖啡,4.9,108.920014,34.202385,41,1086,4
北京烤鸭（徐家庄店）,4.6,108.909260,34.223930,46,1736,5
洛可可生日蛋糕坊（民乐园店）,5.0,108.963210,34.265526,56,903,4
北京烤鸭（长缨东路店）,4.4,109.003279,34.277253,54,2200,5
阿姨奶茶专卖（小寨店）,4.9,108.947608,34.225305,8,822,4
洛可可生日蛋糕坊（西稍门店）,5.0,108.919263,34.261811,84,397,4
闻道听香火锅,4.4,108.916605,34.204868,58,2645,5
伊诺仕蛋糕,4.7,108.941196,34.227272,73,3397,4
土耳其卡巴布清真餐厅（西安店）,4.3,108.945692,34.177832,41,2276,5
云南过桥米线（解放路店）,3.7,108.963331,34.262659,24,7188,1
洛可可蛋糕坊（半坡店）,5.0,109.057654,34.274740,66,1204,4
金皇冠蛋糕,4.8,108.841914,34.297625,50,2652,4
桥头米线涮牛肚,4.3,108.982914,34.263448,15,1307,5
洛可可生日蛋糕坊（小寨店）,5.0,108.926057,34.219769,74,591,4
臻味醉淡泊铜锅涮肉（含光门店）,4.5,108.928114,34.252537,90,1214,5
三姊妹香辣土豆片夹馍（海港城店）,4.4,108.947608,34.225305,6,4122,5
贝尔莉莎艺术蛋糕（全国总店）,5.0,108.935583,34.295020,129,661,4
ME CAKE蛋糕·西点,4.2,108.870599,34.278011,77,2375,5
莲花餐饮（高新店）,4.9,108.896904,34.218792,61,1132,4
维也纳咖啡,4.1,108.937679,34.340962,52,737,1
马有才牛肉拉面,4.4,108.947193,34.333440,12,10994,3
悦宾楼（半坡艺术区店）,3.0,109.057945,34.270895,50,1,1
香客源自助火锅城（八府庄园店）,3.6,108.980843,34.290726,27,1868,1
兄弟大灶台-大庆路店,4.2,108.854029,34.268874,59,1496,5
小谷姐姐麻辣拌·麻辣烫（华夏幸福广场店）,4.9,109.060107,34.252078,20,19,4
食色火锅（高新店）,4.7,108.872840,34.237848,65,1716,4
聚朋自助火锅,4.0,108.966968,34.268449,21,2262,1
御品馋猫砂锅麻辣烫,3.5,108.908319,34.216149,24,1,1
小伙伴铜盘火锅（互助路店）,4.7,108.996713,34.260214,46,1267,4
重庆渝味晓宇火锅（粉巷店）,4.4,108.941814,34.255612,95,6877,5
大千麻辣鱼,3.5,108.814084,34.032726,86,3,1
老单家葫芦头泡馍,4.5,108.949181,34.332265,18,3928,5
关中大锅炖（灞桥区店）,4.5,109.096367,34.227986,36,1473,5
楼北楼牛羊肉泡馍（大差市店）,4.1,108.964172,34.258184,27,2688,1
Enoch Cake 以诺蛋糕,3.9,108.876771,34.240399,65,1360,1
清真奥斯曼大盘鸡砂锅,4.6,108.943353,34.266924,25,39,5
福临北京烤鸭（韦曲西街店）,4.2,108.941627,34.161573,50,2076,5
悠味烘焙坊（三桥店）,4.1,108.831370,34.289168,59,1718,1
